booking_id,customer_id,best_driver_id,pickup_location,drop_location,pickup_lat,pickup_lon,drop_lat,drop_lon,distance_km,booking_value,service_category,skill_match_score,driver_avg_rating,customer_repeat_rate,traffic_index,temp,humidity,weather,peak_hour,success_flag
"""CNR8494506""","""CID9202816""",103,Khandsa,Malviya Nagar,28.4533282,77.0195396,28.5339201,77.2124474,20.873619329227974,627.0,cleaning,0.828,4.23,0.060485556785675895,0.5,29.19,11.0,Clear,0,1
"""CNR8906825""","""CID2610914""",271,Central Secretariat,Inderlok,28.6158758,77.2123449,28.6727066,77.1691872,7.594142649161466,416.0,cleaning,0.33,3.11,0.08102687287104018,0.81,29.66,9.0,Clear,0,1
"""CNR1950162""","""CID9933542""",107,Ghitorni Village,Khan Market,28.4931214,77.1424868,28.5995141,77.2259785,14.368866914161712,737.0,electrical,0.30400000000000005,1.82,0.11960625957265449,0.45,29.16,10.0,Clear,0,1
"""CNR4096693""","""CID4670564""",72,AIIMS,Narsinghpur,28.5668602,77.2078058,22.934556,79.0867849,653.9079004918493,316.0,cleaning,0.47,2.79,0.04997268261181911,0.81,29.65,9.0,Clear,0,1
"""CNR2002539""","""CID6800553""",189,Vaishali,Punjabi Bagh,25.7491702,85.3972164,28.672995,77.1461239,878.0420322344505,640.0,electrical,0.67,2.27,0.13835843164342326,0.77,30.46,36.0,Clear,0,1
"""CNR6568000""","""CID8610436""",21,Mayur Vihar,Cyber Hub,28.6098555,77.2926318,51.905975,-2.1147883,6843.896185617863,136.0,cleaning,0.37,2.31,0.12481524244504738,0.49,29.79,9.0,Clear,0,1
"""CNR9070334""","""CID6680340""",103,Udyog Bhawan,Dwarka Sector 21,28.6126506,77.211843,28.5519218,77.0585605,16.419883343549614,181.0,cleaning,0.552,4.23,0.2970256632842133,0.5,29.66,9.0,Clear,0,1
"""CNR2987763""","""CID2669710""",122,Malviya Nagar,Ghitorni Village,28.5339201,77.2124474,28.4931214,77.1424868,8.204099598060067,394.0,general_maintenance,0.84,4.69,0.17815911278342614,0.7,29.55,9.0,Clear,0,1
"""CNR8962232""","""CID1789354""",215,Madipur,GTB Nagar,28.6764752,77.1193599,28.6981333,77.2063998,8.825338761884367,836.0,electrical,0.54,4.43,0.4416772150642883,0.51,29.59,9.0,Clear,0,1
"""CNR2390352""","""CID5432215""",88,Jama Masjid,Khan Market,28.6506822,77.232961,28.5995141,77.2259785,5.730304858314572,410.0,cleaning,0.55,1.79,0.13798249425511008,0.6,29.59,9.0,Clear,0,1
"""CNR3221338""","""CID2581698""",100,IGI Airport,Madipur,28.5564626,77.0866995,28.6764752,77.1193599,13.720317269646968,401.0,general_maintenance,1.116,4.98,0.26355045922294656,0.36,29.49,10.0,Clear,0,1
"""CNR9843229""","""CID4929303""",152,Punjabi Bagh,Mansarovar Park,28.672995,77.1461239,28.675385,77.3008678,15.098881651507572,264.0,moving_help,0.48,1.86,0.26003027621676117,0.76,29.61,9.0,Clear,0,1
"""CNR7911434""","""CID8465004""",131,Greater Noida,Botanical Garden,28.4670734,77.5137649,55.8448473,37.6382437,4376.269155766098,183.0,cleaning,0.84,4.61,0.2885415659612746,0.75,29.73,11.0,Clear,0,1
"""CNR6178330""","""CID7719678""",150,Tis Hazari,IMT Manesar,28.6671626,77.2166306,28.3671851,76.920669,44.14510600044129,713.0,painting,0.61,1.33,0.26826926005597235,0.6,29.67,9.0,Clear,0,1
"""CNR5309981""","""CID3870048""",258,Noida Sector 18,Old Gurgaon,28.5707583,77.3260756,28.4701448,77.0441185,29.73263051721053,113.0,moving_help,0.5519999999999999,1.47,0.05288991045430664,0.75,29.83,9.0,Clear,0,1
"""CNR2978950""","""CID2977484""",294,Kanhaiya Nagar,Anand Vihar,28.6824082,77.1647754,28.646841,77.3160332,15.278533482371405,767.0,cleaning,0.5,1.11,0.001071082347921104,0.57,29.61,9.0,Clear,0,1
"""CNR2806943""","""CID7550481""",192,Okhla,Barakhamba Road,28.5636616,77.2890546,28.6263693,77.2306802,9.005583698649616,495.0,cleaning,0.3,2.59,0.18487580677083548,0.41,29.75,9.0,Clear,0,1
"""CNR8779845""","""CID7444351""",277,Faridabad Sector 15,Malviya Nagar,28.3983558,77.3231003,28.5339201,77.2124474,18.553254812047424,2847.0,cleaning,0.31,1.2,0.2107333100519849,0.59,29.54,11.0,Clear,0,1
"""CNR3871541""","""CID9849259""",161,Mundka,Preet Vihar,28.6819261,77.0308105,28.6414409,77.2952594,26.192013100494204,282.0,carpentry,0.57,2.78,0.039363645000322835,0.45,29.47,10.0,Clear,0,1
"""CNR2877692""","""CID5901711""",22,DLF City Court,Nehru Place,10.0166321,76.3444988,28.5492574,77.2529526,2062.912209708969,656.0,moving_help,0.38,4.89,0.05005058975945609,0.83,31.86,55.0,Clouds,0,1
"""CNR9603633""","""CID5856503""",253,Tis Hazari,Shahdara,28.6671626,77.2166306,28.6758661,77.2985078,8.046412352640113,134.0,cleaning,0.49,4.41,0.2889229690166102,0.54,29.67,9.0,Clear,0,1
"""CNR7823292""","""CID9377721""",236,Nirman Vihar,Malviya Nagar,28.6364592,77.2868145,28.5339201,77.2124474,13.517685225489352,470.0,moving_help,0.624,2.3,0.2831499764235776,0.36,29.74,9.0,Clear,0,1
"""CNR9918895""","""CID9520433""",49,New Delhi Railway Station,Noida Film City,28.6402816,77.2204103,28.57407,77.3139374,11.728803543878728,187.0,cleaning,0.57,2.63,0.0470914646099034,0.47,29.59,9.0,Clear,0,1
"""CNR7401001""","""CID9958715""",59,Civil Lines Gurgaon,Mandi House,28.461685,77.0339023,28.6255149,77.2341926,26.732403273172824,186.0,general_maintenance,0.85,1.76,0.07410252128000323,0.85,29.26,11.0,Clear,0,1
"""CNR2631310""","""CID4355670""",170,Seelampur,Janakpuri,28.6698165,77.2668137,28.6219272,77.0874757,18.292840666189978,70.0,plumbing,0.33,4.56,0.2676340986065778,0.54,29.7,9.0,Clear,0,1
"""CNR5969954""","""CID5558118""",188,Vinobapuri,Karkarduma,28.565871,77.2492973,28.6493434,77.3060686,10.810370946807994,273.0,cleaning,0.48,3.59,0.13049799919001046,0.46,29.71,9.0,Clear,0,1
"""CNR9572979""","""CID3474992""",271,Sultanpur,Noida Extension,26.2604732,82.2380532,,,20.91,251.0,moving_help,0.58,3.11,0.23942178775839665,0.68,29.85,31.0,Clear,0,1
